date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2016-07-30,29.1,,33.1,,,,,,,
2016-07-31,30.1,27.3,34.8,,,,,,,
2016-08-01,31.1,27.8,35.4,,,,,,,
2016-08-02,30.8,28.2,35.3,,,,,,,
2016-08-03,29.6,,33.8,26.4,,,,,,
2016-08-04,30.6,26.4,34.5,7.1,,,,,,
2016-08-05,28.7,,32.8,19.6,,,,,,
2016-08-06,29.1,25.6,34.3,39.6,,,,,,
2016-08-07,27.9,25.5,32.3,32,,,,,,
2016-08-08,29.7,25.6,34.4,30.5,,,,,,
2016-08-09,29.1,,34.4,16.8,,,,,,
2016-08-10,29.8,26.2,35.3,9.4,,,,,,
2016-08-11,28.7,,34.3,32.5,,,,,,
2016-08-12,30,26.7,33.7,0.5,,,,,,
2016-08-13,29.7,27.1,33.2,0,,,,,,
2016-08-14,29.4,,33.4,4.3,,,,,,
2016-08-15,28.9,26.7,32.4,6.9,,,,,,
2016-08-16,30.6,,33.2,2.5,,,,,,
2016-08-17,30.6,27.2,35.3,0,,,,,,
2016-08-18,29.4,,34.9,9.9,,,,,,
2016-08-19,29.9,25.5,32.3,2.3,,,,,,
2016-08-20,30.7,,34.3,,,,,,,
2016-08-21,30.2,26.9,35,0.5,,,,,,
2016-08-22,31.3,27.6,35.3,,,,,,,
2016-08-23,29.9,,35.4,31,,,,,,
2016-08-24,29.5,,35.1,51.3,,,,,,
2016-08-25,28.9,24.7,34.5,49.3,,,,,,
2016-08-26,30,25.7,34.7,1.5,,,,,,
2016-08-27,30.1,,34,3.6,,,,,,
2016-08-28,29.2,26.4,32.7,6.1,,,,,,
2016-08-29,28.8,,32.8,4.8,,,,,,
2016-08-30,29.3,26.3,33.6,4.6,,,,,,
2016-08-31,28.7,26.8,34.3,5.6,,,,,,
2016-09-01,29.1,26.9,33.6,4.6,,,,,,
2016-09-02,29.3,,34.6,3.6,,,,,,
2016-09-03,29.9,26.7,34,,,,,,,
2016-09-04,29.3,27.4,33,0.5,,,,,,
2016-09-05,30,27.1,34.9,,,,,,,
2016-09-06,29.8,,35.5,38.4,,,,,,
2016-09-07,28.5,25.4,34.1,6.6,,,,,,
2016-09-08,28.6,,33.7,14.7,,,,,,
2016-09-09,29.8,25.1,34.7,13.7,,,,,,
2016-09-10,30,26.9,34.6,0,,,,,,
2016-09-11,29.2,,34,5.6,,,,,,
2016-09-12,27.4,25.5,31.6,20.6,,,,,,
2016-09-13,27,,30.3,36.6,,,,,,
2016-09-14,28.1,25.5,31.5,1.3,,,,,,
2016-09-15,29.2,25.5,33,0.5,,,,,,
2016-09-16,30.4,26.2,33.5,,,,,,,
2016-09-17,29.7,,34.7,7.1,,,,,,
2016-09-18,28.9,,33.5,14,,,,,,
2016-09-19,28.6,25,35.3,39.1,,,,,,
2016-09-20,26.4,,29.8,12.7,,,,,,
2016-09-21,26.6,,,91.7,,,,,,
2016-09-22,27.8,24.8,34.3,0.5,,,,,,
2016-09-23,26.9,24.7,31.8,44.2,,,,,,
2016-09-24,28.1,25.8,32.4,1,,,,,,
2016-09-25,28.7,25,,0.5,,,,,,
2016-09-26,28.3,26,32.7,1,,,,,,
2016-09-27,28.6,25.7,33.2,11.2,,,,,,
2016-09-28,29.2,25.3,33.3,2.5,,,,,,
2016-09-29,29.8,26,34,0,,,,,,
2016-09-30,29.7,26,33.2,,,,,,,
2016-10-01,29.8,26.8,33.4,0.5,,,,,,
2016-10-02,28.8,26.8,32.8,47.5,,,,,,
2016-10-03,27.7,25.7,34.7,5.1,,,,,,
2016-10-04,28.6,25.8,34.3,0.8,,,,,,
2016-10-05,27.7,25.4,32.1,7.1,,,,,,
2016-10-06,27.6,,32.4,3.8,,,,,,
2016-10-07,28.7,25.4,33.2,1,,,,,,
2016-10-08,28.2,,33.2,14.7,,,,,,
2016-10-09,27.5,,33.7,19.8,,,,,,
2016-10-10,29.5,25.4,34.8,1.5,,,,,,
2016-10-11,29.2,27,33.5,1.5,,,,,,
