"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Horses",10101,"Animal Products",1,210005,2012
"Live animals",101,"Bovine",10102,"Animal Products",1,12187,2012
"Live animals",101,"Sheep and Goats",10104,"Animal Products",1,36637,2012
"Live animals",101,"Poultry",10105,"Animal Products",1,1963091,2012
"Live animals",101,"Other Animals",10106,"Animal Products",1,478771,2012
"Meat & edible offal",102,"Bovine Meat",10201,"Animal Products",1,5047,2012
"Meat & edible offal",102,"Frozen Bovine Meat",10202,"Animal Products",1,249188,2012
"Meat & edible offal",102,"Pig Meat",10203,"Animal Products",1,706666,2012
"Meat & edible offal",102,"Sheep and Goat Meat",10204,"Animal Products",1,38610,2012
"Meat & edible offal",102,"Horse Meat",10205,"Animal Products",1,50,2012
"Meat & edible offal",102,"Edible Offal",10206,"Animal Products",1,97075,2012
"Meat & edible offal",102,"Poultry Meat",10207,"Animal Products",1,4238683,2012
"Meat & edible offal",102,"Other Meat",10208,"Animal Products",1,126,2012
"Meat & edible offal",102,"Preserved Meat",10210,"Animal Products",1,52221,2012
"Fish, crustaceans, & molluscs",103,"Live Fish",10301,"Animal Products",1,23199,2012
"Fish, crustaceans, & molluscs",103,"Non-fillet Fresh Fish",10302,"Animal Products",1,530119,2012
"Fish, crustaceans, & molluscs",103,"Non-fillet Frozen Fish",10303,"Animal Products",1,20717102,2012
"Fish, crustaceans, & molluscs",103,"Fish Fillets",10304,"Animal Products",1,3126110,2012
"Fish, crustaceans, & molluscs",103,"Fish: dried, salted, smoked or in brine",10305,"Animal Products",1,4461638,2012
"Fish, crustaceans, & molluscs",103,"Crustaceans",10306,"Animal Products",1,902602,2012
"Fish, crustaceans, & molluscs",103,"Molluscs",10307,"Animal Products",1,2994404.0000000005,2012
"Edible products of animal origin, n.e.s.",104,"Milk",10401,"Animal Products",1,5073077,2012
"Edible products of animal origin, n.e.s.",104,"Concentrated Milk",10402,"Animal Products",1,35461082,2012
"Edible products of animal origin, n.e.s.",104,"Fermented Milk Products",10403,"Animal Products",1,174601,2012
"Edible products of animal origin, n.e.s.",104,"Whey and other milk products",10404,"Animal Products",1,1801684,2012
"Edible products of animal origin, n.e.s.",104,"Butter",10405,"Animal Products",1,699833,2012
"Edible products of animal origin, n.e.s.",104,"Cheese",10406,"Animal Products",1,1465606,2012
"Edible products of animal origin, n.e.s.",104,"Eggs",10407,"Animal Products",1,1043341,2012
"Edible products of animal origin, n.e.s.",104,"Processed Egg Products",10408,"Animal Products",1,81952,2012
"Edible products of animal origin, n.e.s.",104,"Honey",10409,"Animal Products",1,552245,2012
"Edible products of animal origin, n.e.s.",104,"Other Edible Animal Products",10410,"Animal Products",1,53,2012
"Animal originated products, n.e.s.",105,"Human Hair",10501,"Animal Products",1,1726.9999999999998,2012
"Animal originated products, n.e.s.",105,"Pig Hair",10502,"Animal Products",1,308515.99999999994,2012
"Animal originated products, n.e.s.",105,"Animal Organs",10504,"Animal Products",1,20983,2012
"Animal originated products, n.e.s.",105,"Bird Feathers and Skins",10505,"Animal Products",1,19950,2012
"Animal originated products, n.e.s.",105,"Processed Bones",10506,"Animal Products",1,36473,2012
"Animal originated products, n.e.s.",105,"Raw Bones",10507,"Animal Products",1,7279,2012
"Animal originated products, n.e.s.",105,"Other Inedible Animal Products",10511,"Animal Products",1,724696,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Bulbs and Roots",20601,"Vegetable Products",2,2985233,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Other live plants, cuttings and slips;
mushroom spawn",20602,"Vegetable Products",2,4411081,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Cut Flowers",20603,"Vegetable Products",2,1133712,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Plant foliage",20604,"Vegetable Products",2,20529,2012
"Edible vegetables, roots, & tubers",207,"Potatoes",20701,"Vegetable Products",2,13168672.999999998,2012
"Edible vegetables, roots, & tubers",207,"Tomatoes",20702,"Vegetable Products",2,208025.99999999997,2012
"Edible vegetables, roots, & tubers",207,"Onions",20703,"Vegetable Products",2,5147027,2012
"Edible vegetables, roots, & tubers",207,"Cabbages",20704,"Vegetable Products",2,5011,2012
"Edible vegetables, roots, & tubers",207,"Lettuce",20705,"Vegetable Products",2,11309,2012
"Edible vegetables, roots, & tubers",207,"Root Vegetables",20706,"Vegetable Products",2,3660.0000000000005,2012
"Edible vegetables, roots, & tubers",207,"Legumes",20708,"Vegetable Products",2,8466323,2012
"Edible vegetables, roots, & tubers",207,"Other Vegetables",20709,"Vegetable Products",2,565629,2012
"Edible vegetables, roots, & tubers",207,"Frozen Vegetables",20710,"Vegetable Products",2,732544,2012
"Edible vegetables, roots, & tubers",207,"Preserved Vegetables",20711,"Vegetable Products",2,90002,2012
"Edible vegetables, roots, & tubers",207,"Dried Vegetables",20712,"Vegetable Products",2,589220,2012
"Edible vegetables, roots, & tubers",207,"Dried Legumes",20713,"Vegetable Products",2,46448735,2012
"Edible vegetables, roots, & tubers",207,"Cassava",20714,"Vegetable Products",2,23129,2012
"Edible fruits, nuts & fruit peels",208,"Coconuts, Brazil Nuts, and Cashews",20801,"Vegetable Products",2,790612,2012
"Edible fruits, nuts & fruit peels",208,"Other Nuts",20802,"Vegetable Products",2,1661277,2012
"Edible fruits, nuts & fruit peels",208,"Bananas",20803,"Vegetable Products",2,179959,2012
"Edible fruits, nuts & fruit peels",208,"Tropical Fruits",20804,"Vegetable Products",2,4694004,2012
"Edible fruits, nuts & fruit peels",208,"Citrus",20805,"Vegetable Products",2,28083138.000000004,2012
"Edible fruits, nuts & fruit peels",208,"Grapes",20806,"Vegetable Products",2,2459744,2012
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,69595,2012
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,8933733,2012
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,148610,2012
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,913116,2012
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,122783,2012
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,14165.000000000002,2012
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,434778,2012
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,3169,2012
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,3894521,2012
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,189117443,2012
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,43176,2012
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,1093370,2012
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,6235,2012
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,390187,2012
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,298014,2012
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,166678,2012
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,810895,2012
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,2315906,2012
"Cereals",210,"Wheat",21001,"Vegetable Products",2,265569525,2012
"Cereals",210,"Rye",21002,"Vegetable Products",2,10769,2012
"Cereals",210,"Barley",21003,"Vegetable Products",2,2006639,2012
"Cereals",210,"Oats",21004,"Vegetable Products",2,142250,2012
"Cereals",210,"Corn",21005,"Vegetable Products",2,61594332,2012
"Cereals",210,"Rice",21006,"Vegetable Products",2,220557771,2012
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,30729659.000000004,2012
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,1006213,2012
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,30370686,2012
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,1128327,2012
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,15293664.000000002,2012
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,1352328,2012
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,22675,2012
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,362084,2012
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,2296912,2012
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,7830261.999999999,2012
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,68,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,438054.99999999994,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,11066299,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,27270,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,5137,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,29147.000000000004,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,1180100.9999999998,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,2089257,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,2177371,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,12970863,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,697465,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,251882,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,461698,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,36019,2012
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,485538,2012
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,2494272,2012
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,40046,2012
"Vegetable plaiting materials & products, n.e.s.",214,"Other Vegetable Products",21404,"Vegetable Products",2,562599,2012
"Animal or vegetable fats, oils, & waxes",315,"Pig and Poultry Fat",31501,"Animal and Vegetable Bi-Products",3,552,2012
"Animal or vegetable fats, oils, & waxes",315,"Bovine, Sheep, and Goat Fat",31502,"Animal and Vegetable Bi-Products",3,18775,2012
"Animal or vegetable fats, oils, & waxes",315,"Lard stearin and oils",31503,"Animal and Vegetable Bi-Products",3,55817,2012
"Animal or vegetable fats, oils, & waxes",315,"Fish oil",31504,"Animal and Vegetable Bi-Products",3,42672,2012
"Animal or vegetable fats, oils, & waxes",315,"Wool Grease",31505,"Animal and Vegetable Bi-Products",3,729228,2012
"Animal or vegetable fats, oils, & waxes",315,"Soybean Oil",31507,"Animal and Vegetable Bi-Products",3,1061151,2012
"Animal or vegetable fats, oils, & waxes",315,"Ground Nut Oil",31508,"Animal and Vegetable Bi-Products",3,24230,2012
"Animal or vegetable fats, oils, & waxes",315,"Pure Olive Oil",31509,"Animal and Vegetable Bi-Products",3,1790541,2012
"Animal or vegetable fats, oils, & waxes",315,"Olive Oil",31510,"Animal and Vegetable Bi-Products",3,154174,2012
"Animal or vegetable fats, oils, & waxes",315,"Palm Oil",31511,"Animal and Vegetable Bi-Products",3,199345944,2012
"Animal or vegetable fats, oils, & waxes",315,"Seed Oils",31512,"Animal and Vegetable Bi-Products",3,3569786,2012
"Animal or vegetable fats, oils, & waxes",315,"Coconut Oil",31513,"Animal and Vegetable Bi-Products",3,1548539,2012
"Animal or vegetable fats, oils, & waxes",315,"Rapeseed Oil",31514,"Animal and Vegetable Bi-Products",3,248867,2012
"Animal or vegetable fats, oils, & waxes",315,"Other Pure Vegetable Oils",31515,"Animal and Vegetable Bi-Products",3,16059503,2012
