Item,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
TOTAL,188578196,249295559,352220504,348019269,353721039,325447863,343540589,280609385,311136246,381554799,389495963,452257030,591328595,573095415,551513784
841--Men's Or Boy's Coats; Jackets Etc; Not Knit,37156960,46171562,66953184,48830485,64224623,56186793,38893381,26999189,33381423,32351934,47703696,40050171,71919039,86874941,104092691
842--Women/Girls Coats; Not Knit,65011819,89804287,129539055,143930549,127991554,105696879,107360063,65218899,51154275,70912471,75836105,91415295,107355824,93121618,86042909
845--Articles Of Apparel Of Textile Fabrics,14810987,31676119,40110852,35250318,40729089,41120646,53446684,55544758,69392093,79762764,68042168,100354759,104333319,85179071,70648400
057--Fruit and Nuts; Fresh Or Dried,1688249,5986354,13673032,8860115,7363417,4089913,5907814,5014736,18354649,29315625,33247733,29298124,39878071,46360297,42079762
843--Men's Or Boys' Coats; Jackets; Knitted,2355207,7217156,9984600,17292834,10135277,14427827,15849888,14354167,12672598,24864506,23140376,36573515,41207795,40499608,42040329
071--Coffee And Coffee Substitutes,12725502,15437997,14002828,21275391,24139389,26300645,36332366,32826441,32907216,40143413,48939255,32720621,43691768,43670535,38543964
844--Women's Or Girls' Coats; Capes; Knit,6121819,12777564,29977103,25065871,19750736,30503564,30970412,32971527,35091626,52785997,39447761,40037566,53954260,62414862,37666448
931--Special Transactions Not Classified By Kind,7130781,4518767,8879389,6529020,6310140,6161267,10153018,8922042,15262221,9443653,12816210,16383642,61949346,29316196,35996177
074--Tea And Mate,12261094,9048832,8246802,9273734,11043570,10815347,13203331,12730082,17884311,15715953,15695784,16986196,19564232,20513564,26538221
287--Ores & Concentrates Of Base Metals,0,193365,176826,0,0,0,280620,356382,0,0,0,0,16045734,17359166,25075945
292--Crude Vegetable Materials,8372368,8507921,9883895,9602759,9874997,5768487,2659113,2851446,3116840,4415948,3808063,5469315,6591955,6512481,5560931
894--Toys And Sporting Goods,1168271,1265558,1146641,1365988,2966864,3961400,5122421,2032190,2537815,2150836,2977221,2780590,3133416,3934807,4343707
422--Fixed Vegetable Fats & Oils; Crude,0,47613,151080,235125,480868,334970,444662,413384,370041,916929,716249,547810,1528042,4179325,4273472
058--Fruit Preserved and Fruit Preparations,1038555,1152203,1335455,1327425,1305008,88200,1833244,544802,1945649,1369269,0,1076168,1774923,11389554,3375281
896--Works Of Art; Collectors' Pieces And Antiques,276776,134474,473880,102596,177778,568069,595302,650965,882444,1069561,620564,807922,201810,1965442,3046644
551--Essential Oils; Perfume And Flavor Materials,0,205085,239633,306698,355495,718670,201960,363833,795927,669250,1207682,831050,1702948,3497449,3014188
059--Fruit/Vegetable Juices; Unfermented,91710,50451,53068,17503,56100,181733,2304287,3747994,1903790,296024,608144,1031322,500095,1890341,2568922
984--Estimate Of Low Valued Import Transactions,774966,763601,918702,967883,1111469,922621,1153372,1059794,944684,1140843,1049785,1407834,1904019,2071053,2124550
121--Tobacco; Tobacco Refuse,0,35520,30224,59909,48846,4844,0,22848,0,1485000,1928124,0,0,0,1847514
897--Jewelry; Goldsmiths' & Silversmiths' Wares,537570,729255,738058,680641,1320337,1149677,870986,702508,966435,849484,1189790,1559848,2437648,1800776,1698554
776--Thermionic; Cold Cathode and Photocathode Valves,2058838,250961,395162,460316,120488,338688,147428,13195,323322,68074,115384,34475,253349,84114,1389874
