,Country Name,Country Code,Year,GDP growth (annual %),Trade (% of GDP)
0,Comoros,COM,2012,3.168409869,40.81041894
11,Eritrea,ERI,2012,,
22,Ethiopia,ETH,2012,8.647811633,45.39790418
33,Kenya,KEN,2012,4.568679614,51.62369202
44,Madagascar,MDG,2012,3.011148116,52.65171408
55,Mauritius,MUS,2012,3.496118365,119.5001198
66,Seychelles,SYC,2012,3.110678494,222.0818625
77,Somalia,SOM,2012,,
88,South Sudan,SSD,2012,-46.08212237,71.61981139
99,Sudan,SDN,2012,-17.0046884,21.85617452
110,Tanzania,TZA,2012,4.50015356,54.36894908
121,Uganda,UGA,2012,3.837455606,43.50213714
1,Comoros,COM,2013,4.466247315,39.24329527
12,Eritrea,ERI,2013,,
23,Ethiopia,ETH,2013,10.58227005,41.47178708
34,Kenya,KEN,2013,3.797848393,47.46464251
45,Madagascar,MDG,2013,2.300376228,56.36758179
56,Mauritius,MUS,2013,3.3604061,113.3056535
67,Seychelles,SYC,2013,1.253734962,196.4292672
78,Somalia,SOM,2013,,77.16821464
89,South Sudan,SSD,2013,13.12973114,50.81124659
100,Sudan,SDN,2013,1.955144633,26.8585245
111,Tanzania,TZA,2013,6.781585601,48.63162753
122,Uganda,UGA,2013,3.586905826,43.10915487
2,Comoros,COM,2014,2.106657589,39.2358232
13,Eritrea,ERI,2014,,
24,Ethiopia,ETH,2014,10.25749296,40.74108415
35,Kenya,KEN,2014,5.020111002,46.17048936
46,Madagascar,MDG,2014,3.339203112,61.96943221
57,Mauritius,MUS,2014,3.82696982,110.5897075
68,Seychelles,SYC,2014,4.063691812,213.1591206
79,Somalia,SOM,2014,7.526391583,76.51063904
90,South Sudan,SSD,2014,3.373648477,64.63451781
101,Sudan,SDN,2014,4.661379542,20.845109
112,Tanzania,TZA,2014,6.732461868,45.35602234
123,Uganda,UGA,2014,5.106307325,36.01440108
3,Comoros,COM,2015,1.147350761,37.80495207
14,Eritrea,ERI,2015,,
25,Ethiopia,ETH,2015,10.39246302,39.65612414
36,Kenya,KEN,2015,4.967721128,40.32738469
47,Madagascar,MDG,2015,3.132298075,61.22037884
58,Mauritius,MUS,2015,3.690556904,107.1459794
69,Seychelles,SYC,2015,4.194586924,192.9968051
80,Somalia,SOM,2015,9.946799952,71.94355002
91,South Sudan,SSD,2015,-10.79336463,65.55134918
102,Sudan,SDN,2015,1.910176891,18.37827285
113,Tanzania,TZA,2015,6.160628774,40.75768088
124,Uganda,UGA,2015,5.18785986,37.68929833
4,Comoros,COM,2016,3.320446562,37.13287972
15,Eritrea,ERI,2016,,
26,Ethiopia,ETH,2016,9.433482658,34.8990528
37,Kenya,KEN,2016,4.213517068,34.86501957
48,Madagascar,MDG,2016,3.993146062,60.83469848
59,Mauritius,MUS,2016,3.862468263,101.3661141
70,Seychelles,SYC,2016,5.104826829,194.4474006
81,Somalia,SOM,2016,6.424307005,71.18798924
92,South Sudan,SSD,2016,,
103,Sudan,SDN,2016,3.467642184,15.28166989
114,Tanzania,TZA,2016,6.867116196,35.4204704
125,Uganda,UGA,2016,4.781000293,31.20936202
5,Comoros,COM,2017,3.815762877,40.16435892
16,Eritrea,ERI,2017,,
27,Ethiopia,ETH,2017,9.564189643,31.1036313
38,Kenya,KEN,2017,3.837958174,35.99505788
49,Madagascar,MDG,2017,3.933307595,65.34340151
60,Mauritius,MUS,2017,3.937983806,101.2502617
71,Seychelles,SYC,2017,2.786710338,216.2366107
82,Somalia,SOM,2017,9.500189642,68.08152312
93,South Sudan,SSD,2017,,
104,Sudan,SDN,2017,0.709256285,17.83138983
115,Tanzania,TZA,2017,6.727269968,33.11259199
126,Uganda,UGA,2017,3.131405517,36.83705293
6,Comoros,COM,2018,3.642451138,42.99615334
17,Eritrea,ERI,2018,,
28,Ethiopia,ETH,2018,6.816147797,31.19937494
39,Kenya,KEN,2018,5.647946407,34.41475318
50,Madagascar,MDG,2018,3.194356517,67.84150467
61,Mauritius,MUS,2018,4.006740572,98.08717981
72,Seychelles,SYC,2018,3.70668006,208.6912464
83,Somalia,SOM,2018,2.994020064,75.39067337
94,South Sudan,SSD,2018,,
105,Sudan,SDN,2018,-2.68093055,21.86791873
116,Tanzania,TZA,2018,5.502675994,32.6426099
127,Uganda,UGA,2018,6.303923783,36.6384056
7,Comoros,COM,2019,1.760780239,42.26807854
18,Eritrea,ERI,2019,,
29,Ethiopia,ETH,2019,8.364085699,28.81530101
40,Kenya,KEN,2019,5.114158858,31.75946673
51,Madagascar,MDG,2019,4.411232129,62.60132305
62,Mauritius,MUS,2019,2.891284993,96.49195092
