Country Name,Country Code,Series Name,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Comoros,COM,Trade (% of GDP),NE.TRD.GNFS.ZS,40.81041894,39.24329527,39.2358232,37.80495207,37.13287972,40.16435892,42.99615334,42.26807854,33.72993462,42.27772873,47.78172661
Comoros,COM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.168409869,4.466247315,2.106657589,1.147350761,3.320446562,3.815762877,3.642451138,1.760780239,-0.195556827,2.112195577,2.387678485
Kenya,KEN,Trade (% of GDP),NE.TRD.GNFS.ZS,51.62369202,47.46464251,46.17048936,40.32738469,34.86501957,35.99505788,34.41475318,31.75946673,27.23634937,30.68928192,33.72955056
Kenya,KEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.568679614,3.797848393,5.020111002,4.967721128,4.213517068,3.837958174,5.647946407,5.114158858,-0.272766327,7.590489473,4.846634856
South Sudan,SSD,Trade (% of GDP),NE.TRD.GNFS.ZS,71.61981139,50.81124659,64.63451781,65.55134918,..,..,..,..,..,..,..
South Sudan,SSD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-46.08212237,13.12973114,3.373648477,-10.79336463,..,..,..,..,..,..,..
Sudan,SDN,Trade (% of GDP),NE.TRD.GNFS.ZS,21.85617452,26.8585245,20.845109,18.37827285,15.28166989,17.83138983,21.86791873,26.11962046,9.955145076,4.127548638,2.698834054
Sudan,SDN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-17.0046884,1.955144633,4.661379542,1.910176891,3.467642184,0.709256285,-2.68093055,-2.178251045,-3.629800824,-1.868520483,-0.95340703
Somalia,SOM,Trade (% of GDP),NE.TRD.GNFS.ZS,..,77.16821464,76.51063904,71.94355002,71.18798924,68.08152312,75.39067337,69.57218646,76.00927092,82.0839191,95.83957495
Somalia,SOM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,7.526391583,9.946799952,6.424307005,9.500189642,2.994020064,3.626830064,-2.559788836,3.307620952,2.433092486
Tanzania,TZA,Trade (% of GDP),NE.TRD.GNFS.ZS,54.36894908,48.63162753,45.35602234,40.75768088,35.4204704,33.11259199,32.6426099,33.01858925,27.9630152,29.91518401,35.02085946
Tanzania,TZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.50015356,6.781585601,6.732461868,6.160628774,6.867116196,6.727269968,5.502675994,5.8,1.991964606,4.321384295,4.558027339
Uganda,UGA,Trade (% of GDP),NE.TRD.GNFS.ZS,43.50213714,43.10915487,36.01440108,37.68929833,31.20936202,36.83705293,36.6384056,39.36105396,37.00069239,41.71363074,34.50530193
Uganda,UGA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.837455606,3.586905826,5.106307325,5.18785986,4.781000293,3.131405517,6.303923783,6.438745033,2.951306422,3.536580341,4.588021922
Eritrea,ERI,Trade (% of GDP),NE.TRD.GNFS.ZS,..,..,..,..,..,..,..,..,..,..,..
Eritrea,ERI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,..,..,..,..,..,..,..,..,..,..,..
Ethiopia,ETH,Trade (% of GDP),NE.TRD.GNFS.ZS,45.39790418,41.47178708,40.74108415,39.65612414,34.8990528,31.1036313,31.19937494,28.81530101,24.00611364,24.29896725,26.56683564
Ethiopia,ETH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.564189643,6.816147797,8.364085699,6.059530886,5.641530717,5.31709603
Madagascar,MDG,Trade (% of GDP),NE.TRD.GNFS.ZS,52.65171408,56.36758179,61.96943221,61.22037884,60.83469848,65.34340151,67.84150467,62.60132305,49.01070737,54.45704159,69.60467198
Madagascar,MDG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.011148116,2.300376228,3.339203112,3.132298075,3.993146062,3.933307595,3.194356517,4.411232129,-7.137671621,5.739615739,3.796199089
Mauritius,MUS,Trade (% of GDP),NE.TRD.GNFS.ZS,119.5001198,113.3056535,110.5897075,107.1459794,101.3661141,101.2502617,98.08717981,96.49195092,85.83054487,98.00002924,119.4416818
Mauritius,MUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.496118365,3.3604061,3.82696982,3.690556904,3.862468263,3.937983806,4.006740572,2.891284993,-14.54653815,3.403798672,8.880584908
Seychelles,SYC,Trade (% of GDP),NE.TRD.GNFS.ZS,222.0818625,196.4292672,213.1591206,192.9968051,194.4474006,216.2366107,208.6912464,196.9723287,179.292369,235.8201936,233.0699388
Seychelles,SYC,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.110678494,1.253734962,4.063691812,4.194586924,5.104826829,2.786710338,3.70668006,4.876985664,-7.728394412,5.426822752,9.000307367
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,
Last Updated: 05/30/2024,,,,,,,,,,,,,,
