"HS2","HS2 ID","Section","Section ID","Trade Value","Year"
"Live animals",101,"Animal Products",1,2700691,2012
"Meat & edible offal",102,"Animal Products",1,5387666,2012
"Fish, crustaceans, & molluscs",103,"Animal Products",1,32755174,2012
"Edible products of animal origin, n.e.s.",104,"Animal Products",1,46353474,2012
"Animal originated products, n.e.s.",105,"Animal Products",1,1119624,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,"Vegetable Products",2,8550555,2012
"Edible vegetables, roots, & tubers",207,"Vegetable Products",2,75459288,2012
"Edible fruits, nuts & fruit peels",208,"Vegetable Products",2,48508683,2012
"Coffee, tea, mate & spices",209,"Vegetable Products",2,198136425,2012
"Cereals",210,"Vegetable Products",2,581617158,2012
"Products of the milling industry",211,"Vegetable Products",2,58657006,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Vegetable Products",2,31430564,2012
"Natural gums, resins & other vegetable extracts",213,"Vegetable Products",2,2979810,2012
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Products",2,602645,2012
"Animal or vegetable fats, oils, & waxes",315,"Animal and Vegetable Bi-Products",3,267123666,2012
"Preparations of fish, crustacenas, & molluscs",416,"Foodstuffs",4,7756320,2012
"Sugars & confectioneries",417,"Foodstuffs",4,233857907,2012
"Cocoa & cocoa preparations",418,"Foodstuffs",4,10759566,2012
"Preparations of cereals, flour, starch or milk",419,"Foodstuffs",4,74483423,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,"Foodstuffs",4,29253919,2012
"Miscellaneous edible preparations",421,"Foodstuffs",4,59861878,2012
"Beverages, spirits, & vinegar",422,"Foodstuffs",4,74789390,2012
"Food residues & wastes; animal fodder",423,"Foodstuffs",4,70411258,2012
"Tobacco & substitutes",424,"Foodstuffs",4,43995336,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,"Mineral Products",5,114696546,2012
"Ores, slag and ash",526,"Mineral Products",5,4644060,2012
"Mineral fuels, mineral oils and products of their distillation",527,"Mineral Products",5,3372016085,2012
"Inorganic chemicals",628,"Chemical Products",6,81924228,2012
"Organic chemicals",629,"Chemical Products",6,176415720,2012
"Pharmaceutical products",630,"Chemical Products",6,476365874,2012
"Fertilizers",631,"Chemical Products",6,178776052,2012
"Paints, dyes, & varnishes",632,"Chemical Products",6,77508935,2012
"Perfumery & cosmetics",633,"Chemical Products",6,94679739,2012
"Soap, cleaners, candles, dental, modelling pastes",634,"Chemical Products",6,83974100,2012
"Glues, starches, & albuminoid products",635,"Chemical Products",6,16944708,2012
"Explosives, matches, & fireworks",636,"Chemical Products",6,6238171,2012
"Photo & movie goods",637,"Chemical Products",6,15136977,2012
"Chemical products n.e.s.",638,"Chemical Products",6,202002194,2012
"Plastics & articles thereof",739,"Plastics and Rubbers",7,700781591,2012
"Rubber & articles thereof",740,"Plastics and Rubbers",7,300487150,2012
"Raw hides & skin (non-fur)",841,"Animal Hides",8,10675800,2012
"Leather articles",842,"Animal Hides",8,68764529,2012
"Furskins, articifial fur, & articles",843,"Animal Hides",8,9648,2012
"Wood, wood articles, & charcoal",944,"Wood Products",9,49236736,2012
"Cork & cork articles",945,"Wood Products",9,78098,2012
"Straw & esparto manufactures",946,"Wood Products",9,1959921.9999999998,2012
"Wood pulp & paper scrap",1047,"Paper Goods",10,1345721,2012
"Paper articles",1048,"Paper Goods",10,361774085,2012
"Books, newspapers, & other prints",1049,"Paper Goods",10,45690727,2012
"Silk",1150,"Textiles",11,282455,2012
