HS2,HS2 ID,Section,Section ID,Trade Value,Year
Live animals,101,Animal Products,1,5422344,2012
Meat & edible offal,102,Animal Products,1,29028801,2012
"Fish, crustaceans, & molluscs",103,Animal Products,1,86858912,2012
"Edible products of animal origin, n.e.s.",104,Animal Products,1,12855435,2012
"Animal originated products, n.e.s.",105,Animal Products,1,1253498,2012
"Live trees, plants, bulbs, cut flowers, & ornamental foliage",206,Vegetable Products,2,668587569,2012
"Edible vegetables, roots, & tubers",207,Vegetable Products,2,244770853,2012
"Edible fruits, nuts & fruit peels",208,Vegetable Products,2,111691840,2012
"Coffee, tea, mate & spices",209,Vegetable Products,2,1313111446,2012
Cereals,210,Vegetable Products,2,11708645,2012
Products of the milling industry,211,Vegetable Products,2,7502736,2012
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,Vegetable Products,2,51133861,2012
"Natural gums, resins & other vegetable extracts",213,Vegetable Products,2,3680600,2012
"Vegetable plaiting materials & products, n.e.s.",214,Vegetable Products,2,83443,2012
"Animal or vegetable fats, oils, & waxes",315,Animal and Vegetable Bi-Products,3,66038164,2012
"Preparations of fish, crustacenas, & molluscs",416,Foodstuffs,4,36033677,2012
Sugars & confectioneries,417,Foodstuffs,4,33506325,2012
Cocoa & cocoa preparations,418,Foodstuffs,4,4417273,2012
"Preparations of cereals, flour, starch or milk",419,Foodstuffs,4,5538864,2012
"Preparations of vegetables, fruit, nuts or other plant parts",420,Foodstuffs,4,104189715,2012
Miscellaneous edible preparations,421,Foodstuffs,4,51718829,2012
"Beverages, spirits, & vinegar",422,Foodstuffs,4,55102037,2012
Food residues & wastes; animal fodder,423,Foodstuffs,4,11214074,2012
Tobacco & substitutes,424,Foodstuffs,4,145518321,2012
"Salt, sulphur, cement, lime, stone, & plaster",525,Mineral Products,5,132711526,2012
"Ores, slag and ash",526,Mineral Products,5,9326135,2012
"Mineral fuels, mineral oils and products of their distillation",527,Mineral Products,5,254147511,2012
Inorganic chemicals,628,Chemical Products,6,107458622,2012
Organic chemicals,629,Chemical Products,6,10071193,2012
Pharmaceutical products,630,Chemical Products,6,86772106,2012
Fertilizers,631,Chemical Products,6,16269918,2012
"Paints, dyes, & varnishes",632,Chemical Products,6,12812010,2012
Perfumery & cosmetics,633,Chemical Products,6,12397551,2012
"Soap, cleaners, candles, dental, modelling pastes",634,Chemical Products,6,78881482,2012
"Glues, starches, & albuminoid products",635,Chemical Products,6,2765157,2012
"Explosives, matches, & fireworks",636,Chemical Products,6,597523,2012
Photo & movie goods,637,Chemical Products,6,975592,2012
Chemical products n.e.s.,638,Chemical Products,6,16871339,2012
Plastics & articles thereof,739,Plastics and Rubbers,7,125126903,2012
Rubber & articles thereof,740,Plastics and Rubbers,7,11468070,2012
Raw hides & skin (non-fur),841,Animal Hides,8,114016527,2012
Leather articles,842,Animal Hides,8,2530358,2012
"Furskins, articifial fur, & articles",843,Animal Hides,8,85457,2012
"Wood, wood articles, & charcoal",944,Wood Products,9,7665687,2012
Cork & cork articles,945,Wood Products,9,8602,2012
Straw & esparto manufactures,946,Wood Products,9,1412195,2012
Wood pulp & paper scrap,1047,Paper Goods,10,3019820,2012
Paper articles,1048,Paper Goods,10,47203464,2012
"Books, newspapers, & other prints",1049,Paper Goods,10,26068741,2012
Silk,1150,Textiles,11,737,2012
Wool & animal hair,1151,Textiles,11,3594982,2012
Cotton,1152,Textiles,11,6329305,2012
"Vegetable textile fibers, paper yarn & fabrics",1153,Textiles,11,21226642,2012
Man-made filaments,1154,Textiles,11,852045,2012
Man-made staple fibres,1155,Textiles,11,4425015,2012
"Wadding, felt, nonwovens, twin, ropes, & articles thereof",1156,Textiles,11,4046539,2012
Carpets & textile floor covers,1157,Textiles,11,269949,2012
Special woven fabrics and tapestries,1158,Textiles,11,499248,2012
"Coated, covered, & laminated fabrics for industrial use",1159,Textiles,11,291068,2012
Knitted fabrics,1160,Textiles,11,466916,2012
Knitted clothing accesories,1161,Textiles,11,127453007,2012
Non-knitted clothing accesories,1162,Textiles,11,149472730,2012
Used clothes & textile articles,1163,Textiles,11,12589292,2012
Footwear,1264,Footwear and Headwear,12,22436560,2012
Headgear,1265,Footwear and Headwear,12,278289,2012
"Umbrellas, walking sticks, & whips",1266,Footwear and Headwear,12,181178,2012
"Feather articles, feathers, artificial flowers, & articles of human hair",1267,Footwear and Headwear,12,4767135,2012
"Stone, plaster, cement, asbestos, mica.",1368,Stone And Glass,13,3295909,2012
