"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",11199
1,"Animal Products",101,"Live animals",10102,"Bovine",687880
1,"Animal Products",101,"Live animals",10103,"Pigs",74587
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2065699
1,"Animal Products",101,"Live animals",10105,"Poultry",2818582
1,"Animal Products",101,"Live animals",10106,"Other Animals",9120787
1,"Animal Products",102,"Meat & edible offal",10201,"Bovine Meat",441449
1,"Animal Products",102,"Meat & edible offal",10202,"Frozen Bovine Meat",7689756
1,"Animal Products",102,"Meat & edible offal",10203,"Pig Meat",912023
1,"Animal Products",102,"Meat & edible offal",10204,"Sheep and Goat Meat",89336614
1,"Animal Products",102,"Meat & edible offal",10206,"Edible Offal",431022
1,"Animal Products",102,"Meat & edible offal",10207,"Poultry Meat",1308265
1,"Animal Products",102,"Meat & edible offal",10208,"Other Meat",115035
1,"Animal Products",102,"Meat & edible offal",10210,"Preserved Meat",2283835
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10301,"Live Fish",1816857
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10302,"Non-fillet Fresh Fish",1904277
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10303,"Non-fillet Frozen Fish",3990681
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10304,"Fish Fillets",15996854
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10305,"Fish: dried, salted, smoked or in brine",17233075
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10306,"Crustaceans",6955587.999999999
1,"Animal Products",103,"Fish, crustaceans, & molluscs",10307,"Molluscs",6430472
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10401,"Milk",316207.00000000006
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10402,"Concentrated Milk",1872557
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10403,"Fermented Milk Products",367652
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10404,"Whey and other milk products",427804
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10405,"Butter",681571
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10406,"Cheese",535193
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10407,"Eggs",24036
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10408,"Processed Egg Products",79
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10409,"Honey",531553
1,"Animal Products",104,"Edible products of animal origin, n.e.s.",10410,"Other Edible Animal Products",105
1,"Animal Products",105,"Animal originated products, n.e.s.",10501,"Human Hair",526
1,"Animal Products",105,"Animal originated products, n.e.s.",10504,"Animal Organs",39871
1,"Animal Products",105,"Animal originated products, n.e.s.",10506,"Processed Bones",9250
1,"Animal Products",105,"Animal originated products, n.e.s.",10507,"Raw Bones",89965
1,"Animal Products",105,"Animal originated products, n.e.s.",10508,"Coral and Shells",176158
1,"Animal Products",105,"Animal originated products, n.e.s.",10510,"Pharmaceutical Animal Products",269290
1,"Animal Products",105,"Animal originated products, n.e.s.",10511,"Other Inedible Animal Products",622608
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20601,"Bulbs and Roots",180879
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20602,"Other live plants, cuttings and slips;
mushroom spawn",61150838
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20603,"Cut Flowers",664973280
2,"Vegetable Products",206,"Live trees, plants, bulbs, cut flowers, & ornamental foliage",20604,"Plant foliage",2652599
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20701,"Potatoes",4268920
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20702,"Tomatoes",1981594.0000000002
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20703,"Onions",6130784
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20704,"Cabbages",12785529
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20705,"Lettuce",293463
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20706,"Root Vegetables",3993931
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20707,"Cucumbers",30625
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20708,"Legumes",74823890
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20709,"Other Vegetables",50438530
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20710,"Frozen Vegetables",39092695
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20711,"Preserved Vegetables",39533
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20712,"Dried Vegetables",145886
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20713,"Dried Legumes",20476519
2,"Vegetable Products",207,"Edible vegetables, roots, & tubers",20714,"Cassava",1141545
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20801,"Coconuts, Brazil Nuts, and Cashews",2327460
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20802,"Other Nuts",105880607
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20803,"Bananas",104432
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20804,"Tropical Fruits",226985020
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20805,"Citrus",1191586
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20806,"Grapes",154350
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20807,"Melons",127180
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20808,"Apples and Pears",329398
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20809,"Pitted Fruits",47449
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20810,"Other Fruits",4505937
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20811,"Frozen Fruits and Nuts",313693
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20812,"Preserved Fruits and Nuts",6806.000000000001
2,"Vegetable Products",208,"Edible fruits, nuts & fruit peels",20813,"Dried Fruits",1309844
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20901,"Coffee",341359539
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20902,"Tea",1388961542
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20903,"Mate",6975
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20904,"Pepper",4244113
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20905,"Vanilla",15119
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20906,"Cinnamon",127835.00000000001
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20907,"Cloves",98651
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20908,"Nutmeg, mace and cardamons",113991
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20909,"Spice Seeds",42340
2,"Vegetable Products",209,"Coffee, tea, mate & spices",20910,"Spices",15172990
2,"Vegetable Products",210,"Cereals",21001,"Wheat",439150.00000000006
2,"Vegetable Products",210,"Cereals",21002,"Rye",1461347
2,"Vegetable Products",210,"Cereals",21003,"Barley",1782128
2,"Vegetable Products",210,"Cereals",21004,"Oats",63686
2,"Vegetable Products",210,"Cereals",21005,"Corn",2249217
2,"Vegetable Products",210,"Cereals",21006,"Rice",148845
2,"Vegetable Products",210,"Cereals",21007,"Sorghum",82421.99999999999
2,"Vegetable Products",210,"Cereals",21008,"Buckwheat",720166
2,"Vegetable Products",211,"Products of the milling industry",21101,"Wheat Flours",775486
2,"Vegetable Products",211,"Products of the milling industry",21102,"Cereal Flours",2980998
2,"Vegetable Products",211,"Products of the milling industry",21103,"Cereal Meal and Pellets",71773
2,"Vegetable Products",211,"Products of the milling industry",21104,"Processed Cereals",465045
2,"Vegetable Products",211,"Products of the milling industry",21105,"Potato Flours",16409
2,"Vegetable Products",211,"Products of the milling industry",21106,"Legume Flours",242649
2,"Vegetable Products",211,"Products of the milling industry",21107,"Malt",5066670
2,"Vegetable Products",211,"Products of the milling industry",21108,"Starches",117365
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21201,"Soybeans",6204.999999999999
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21202,"Ground Nuts",31236
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21204,"Linseed",843
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21205,"Rapeseed",4
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21206,"Sunflower Seeds",789870
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21207,"Other Oily Seeds",4826410
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21208,"Oil Seed Flower",198072
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21209,"Sowing Seeds",26919977
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21210,"Hops",134459
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21211,"Perfume Plants",41035375
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21212,"Locust beans, seaweed, sugar beet, cane, for food",566725
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21213,"Cereal Straws",305
2,"Vegetable Products",212,"Oils seeds, oleaginous fruits, grains, straw & fodder",21214,"Forage Crops",8942
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21301,"Insect Resins",10141522
2,"Vegetable Products",213,"Natural gums, resins & other vegetable extracts",21302,"Vegetable Saps",6071882
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21401,"Vegetable Plaiting Materials",12155
2,"Vegetable Products",214,"Vegetable plaiting materials & products, n.e.s.",21404,"Other Vegetable Products",317913
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31501,"Pig and Poultry Fat",115
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31502,"Bovine, Sheep, and Goat Fat",712
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31504,"Fish oil",7933.000000000001
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats, oils, & waxes",31505,"Wool Grease",66066
