Date,STN1126,STN0472,STN1094,STN1089,STN0171,STN0680,STN0679,STN1074,STN1075,STN1015,STN1415,STN1181,STN0481,STN1434,T12A,T7
1-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
2-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
3-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
4-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
5-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
6-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
7-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
8-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
9-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
10-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
11-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
12-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
13-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
14-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
15-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
16-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
17-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
18-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
19-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
20-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
21-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
22-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
23-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
24-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
25-01-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,33.2,33.2
26-01-13,--,--,--,--,0,10.5,6,--,--,--,--,--,54,--,0,0
27-01-13,--,--,--,--,1,0,0.5,--,--,--,--,--,0,--,0,0
28-01-13,--,--,--,--,5.5,0,0.5,--,--,--,--,--,30,--,31.2,31.2
29-01-13,--,--,--,--,34.5,10.5,15,--,--,--,--,--,0.5,--,22.2,22.2
30-01-13,--,--,--,--,0,0,0.5,--,--,--,--,--,0,--,0,0
31-01-13,--,--,--,--,1.5,0.5,0,--,--,--,--,--,0,--,10.2,10.2
1-02-13,--,--,--,--,12.5,20,33.5,--,--,--,--,--,22.5,--,0,0
2-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
3-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
4-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
5-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
6-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
7-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
8-02-13,--,--,--,--,0,0,0,--,--,--,--,--,0,--,0,0
