Reporting areas,  Total_cases,Total_death,Jan_case,Jan_death,Feb_case,Feb_death,Mar_case,Mar_death,April_case,April_death,May_case,May_death,June_case,June_death,July_case,July_death,Aug_case,Aug_death,Sep_case,Sep_death,Oct_case,Oct_death,Nov_case,Nov_death,Dec_case,Dec_death
All_region,44877,21,3346,0,2617,2,3017,1,3483,1,4555,2,5846,4,5872,2,5119,3,3728,0,3233,1,2833,3,1228,2
North Region,7209,2,251,0,219,0,342,0,407,0,593,1,1082,1,1348,0,1116,0,726,0,607,0,385,0,133,0
Zone: 1,2483,0,25,0,29,0,32,0,56,0,215,0,519,0,643,0,484,0,225,0,149,0,82,0,24,0
Chiang Mai,1193,0,4,0,8,0,10,0,19,0,85,0,260,0,294,0,251,0,121,0,94,0,38,0,9,0
Chiang Rai,265,0,0,0,1,0,3,0,3,0,28,0,42,0,100,0,50,0,21,0,9,0,6,0,2,0
Lampang,405,0,6,0,9,0,6,0,21,0,31,0,58,0,113,0,67,0,46,0,26,0,17,0,5,0
Lamphun,163,0,5,0,4,0,4,0,0,0,6,0,22,0,39,0,42,0,10,0,11,0,13,0,7,0
Mae Hong Son,36,0,1,0,0,0,0,0,1,0,4,0,4,0,6,0,6,0,7,0,2,0,4,0,1,0
Nan,94,0,1,0,0,0,2,0,0,0,14,0,30,0,24,0,19,0,2,0,2,0,0,0,0,0
Phayao,159,0,2,0,1,0,3,0,3,0,20,0,59,0,35,0,24,0,10,0,1,0,1,0,0,0
Phrae,168,0,6,0,6,0,4,0,9,0,27,0,44,0,32,0,25,0,8,0,4,0,3,0,0,0
Zone: 2,1888,0,69,0,54,0,85,0,117,0,173,0,261,0,331,0,275,0,208,0,157,0,109,0,49,0
Phetchabun,507,0,13,0,10,0,21,0,26,0,64,0,86,0,129,0,75,0,24,0,25,0,26,0,8,0
Phitsanulok,636,0,34,0,18,0,33,0,51,0,43,0,58,0,66,0,74,0,96,0,82,0,54,0,27,0
Sukhothai,251,0,11,0,8,0,14,0,17,0,21,0,27,0,42,0,36,0,31,0,24,0,11,0,9,0
Tak,174,0,2,0,4,0,2,0,7,0,12,0,32,0,33,0,30,0,29,0,13,0,9,0,1,0
Uttaradit,320,0,9,0,14,0,15,0,16,0,33,0,58,0,61,0,60,0,28,0,13,0,9,0,4,0
Zone: 3,2838,2,157,0,136,0,225,0,234,0,205,1,302,1,374,0,357,0,293,0,301,0,194,0,60,0
Kamphaeng Phet,564,0,16,0,25,0,35,0,51,0,65,0,77,0,78,0,62,0,64,0,52,0,35,0,4,0
Nakhon Sawan,1349,2,70,0,72,0,89,0,90,0,92,1,142,1,217,0,195,0,159,0,124,0,74,0,25,0
Phichit,767,0,60,0,34,0,87,0,75,0,30,0,69,0,65,0,76,0,59,0,107,0,76,0,29,0
Uthai Thani,158,0,11,0,5,0,14,0,18,0,18,0,14,0,14,0,24,0,11,0,18,0,9,0,2,0
Central Region,20001,13,1825,0,1491,2,1543,1,1693,0,1697,0,1836,1,1927,1,2088,3,1770,0,1625,1,1727,3,779,1
Bangkok,7078,1,879,0,579,0,487,0,474,0,442,0,444,0,527,0,678,0,642,0,685,0,804,1,437,0
Zone: 4,2364,1,174,0,121,0,127,0,182,0,166,0,229,0,269,1,330,0,280,0,213,0,208,0,65,0
Ang Thong,192,0,18,0,6,0,4,0,8,0,11,0,24,0,24,0,16,0,16,0,25,0,27,0,13,0
Nonthaburi,860,0,95,0,46,0,62,0,71,0,70,0,69,0,80,0,123,0,95,0,42,0,79,0,28,0
P.Nakhon S.Ayutthaya,386,0,14,0,32,0,22,0,29,0,17,0,36,0,50,0,52,0,48,0,58,0,28,0,0,0
Pathum Thani,926,1,47,0,37,0,39,0,74,0,68,0,100,0,115,1,139,0,121,0,88,0,74,0,24,0
Zone: 5,1082,1,57,0,65,0,66,0,109,0,111,0,108,1,149,0,83,0,96,0,116,0,85,0,37,0
Chai Nat,231,0,9,0,6,0,9,0,14,0,14,0,17,0,20,0,20,0,21,0,44,0,44,0,13,0
Lop Buri,418,1,39,0,32,0,19,0,42,0,70,0,52,1,57,0,19,0,30,0,38,0,9,0,11,0
Saraburi,333,0,6,0,22,0,26,0,50,0,21,0,37,0,60,0,36,0,33,0,24,0,13,0,5,0
Sing Buri,100,0,3,0,5,0,12,0,3,0,6,0,2,0,12,0,8,0,12,0,10,0,19,0,8,0
Zone: 6,2986,1,264,0,246,0,253,0,226,0,153,0,284,0,272,0,332,0,320,0,251,0,269,1,116,0
Kanchanaburi,512,0,34,0,30,0,41,0,32,0,28,0,57,0,47,0,52,0,53,0,60,0,56,0,22,0
Nakhon Pathom,1176,1,118,0,119,0,109,0,89,0,46,0,92,0,107,0,122,0,112,0,93,0,122,1,47,0
Ratchaburi,816,0,61,0,66,0,51,0,53,0,53,0,78,0,79,0,109,0,116,0,69,0,56,0,25,0
