Reporting areas,  Total_cases,Total_death,Jan_case,Jan_death,Feb_case,Feb_death,Mar_case,Mar_death,April_case,April_death,May_case,May_death,June_case,June_death,July_case,July_death,Aug_case,Aug_death,Sep_case,Sep_death,Oct_case,Oct_death,Nov_case,Nov_death,Dec_case,Dec_death
Total,27111,12,1045,0,892,1,1239,1,1277,1,2014,3,3227,0,4401,3,3948,1,3117,1,2375,1,2338,0,1238,0
North Region,4042,4,97,0,96,1,130,1,193,0,303,0,713,0,994,1,694,0,398,1,191,0,150,0,83,0
Zone:1,1432,1,4,0,8,0,27,0,44,0,125,0,313,0,434,0,251,0,132,1,50,0,37,0,7,0
Chiang Mai,504,1,0,0,3,0,4,0,6,0,14,0,52,0,157,0,129,0,92,1,29,0,15,0,3,0
Chiang Rai,79,0,0,0,0,0,1,0,2,0,13,0,30,0,15,0,11,0,3,0,3,0,1,0,0,0
Lampang,256,0,2,0,1,0,18,0,17,0,28,0,86,0,62,0,31,0,7,0,0,0,4,0,0,0
Lamphun,199,0,0,0,3,0,2,0,1,0,17,0,44,0,63,0,36,0,17,0,5,0,10,0,1,0
Mae Hong Son,50,0,0,0,0,0,1,0,0,0,0,0,13,0,27,0,2,0,2,0,4,0,1,0,0,0
Nan,35,0,0,0,0,0,0,0,1,0,14,0,11,0,3,0,5,0,0,0,0,0,1,0,0,0
Phayao,162,0,0,0,0,0,1,0,3,0,24,0,46,0,57,0,15,0,7,0,6,0,2,0,1,0
Phrae,147,0,2,0,1,0,0,0,14,0,15,0,31,0,50,0,22,0,4,0,3,0,3,0,2,0
Zone:2,1423,1,35,0,27,0,40,1,69,0,117,0,264,0,379,0,250,0,109,0,57,0,46,0,30,0
Phetchabun,715,0,1,0,6,0,11,0,42,0,55,0,136,0,228,0,142,0,51,0,23,0,13,0,7,0
Phitsanulok,370,1,24,0,10,0,18,1,17,0,28,0,58,0,79,0,50,0,31,0,21,0,17,0,17,0
Sukhothai,129,0,1,0,6,0,9,0,8,0,14,0,18,0,29,0,19,0,10,0,6,0,9,0,0,0
Tak,132,0,6,0,4,0,1,0,0,0,6,0,31,0,29,0,30,0,10,0,6,0,5,0,4,0
Uttaradit,77,0,3,0,1,0,1,0,2,0,14,0,21,0,14,0,9,0,7,0,1,0,2,0,2,0
Zone:3,1187,2,58,0,61,1,63,0,80,0,61,0,136,0,181,1,193,0,157,0,84,0,67,0,46,0
Kamphaeng Phet,318,1,16,0,12,0,20,0,27,0,28,0,45,0,51,1,43,0,28,0,26,0,14,0,8,0
Nakhon Sawan,469,1,22,0,30,1,26,0,32,0,26,0,48,0,57,0,79,0,68,0,32,0,28,0,21,0
Phichit,303,0,20,0,9,0,13,0,20,0,3,0,32,0,59,0,57,0,43,0,16,0,17,0,14,0
Uthai Thani,97,0,0,0,10,0,4,0,1,0,4,0,11,0,14,0,14,0,18,0,10,0,8,0,3,0
Central Region,13119,4,602,0,522,0,775,0,617,1,593,0,955,0,1689,1,1755,1,1759,0,1548,1,1569,0,735,0
Bangkok,4516,1,261,0,161,0,298,0,161,0,158,0,224,0,544,1,586,0,643,0,534,0,617,0,329,0
Zone:4,1505,1,97,0,80,0,115,0,82,0,56,0,91,0,164,0,188,1,188,0,198,0,161,0,85,0
Ang Thong,90,0,12,0,11,0,10,0,9,0,2,0,4,0,3,0,10,0,6,0,10,0,10,0,3,0
Nonthaburi,578,1,19,0,12,0,37,0,33,0,21,0,23,0,72,0,91,1,99,0,70,0,54,0,47,0
P.Nakhon S.Ayutthaya,384,0,28,0,22,0,30,0,18,0,6,0,25,0,28,0,36,0,40,0,77,0,55,0,19,0
Pathum Thani,453,0,38,0,35,0,38,0,22,0,27,0,39,0,61,0,51,0,43,0,41,0,42,0,16,0
Zone:5,1105,0,39,0,32,0,47,0,44,0,28,0,76,0,133,0,176,0,158,0,158,0,145,0,69,0
Chai Nat,180,0,12,0,6,0,13,0,13,0,5,0,11,0,14,0,19,0,24,0,24,0,27,0,12,0
Lop Buri,494,0,19,0,17,0,21,0,19,0,9,0,23,0,44,0,71,0,85,0,81,0,73,0,32,0
Saraburi,337,0,5,0,8,0,9,0,9,0,12,0,37,0,64,0,69,0,36,0,41,0,28,0,19,0
Sing Buri,94,0,3,0,1,0,4,0,3,0,2,0,5,0,11,0,17,0,13,0,12,0,17,0,6,0
Zone:6,2416,0,91,0,94,0,106,0,124,0,120,0,164,0,291,0,292,0,368,0,324,0,317,0,125,0
Kanchanaburi,606,0,18,0,9,0,20,0,22,0,33,0,53,0,92,0,89,0,96,0,65,0,71,0,38,0
Nakhon Pathom,921,0,28,0,37,0,42,0,59,0,38,0,28,0,86,0,91,0,145,0,172,0,138,0,57,0
Ratchaburi,496,0,23,0,34,0,19,0,29,0,28,0,51,0,62,0,61,0,77,0,49,0,43,0,20,0
Suphan Buri,393,0,22,0,14,0,25,0,14,0,21,0,32,0,51,0,51,0,50,0,38,0,65,0,10,0
Zone:7,788,0,34,0,50,0,44,0,41,0,39,0,66,0,102,0,86,0,90,0,73,0,118,0,45,0
Phetchaburi,247,0,4,0,8,0,6,0,4,0,12,0,20,0,35,0,39,0,30,0,32,0,45,0,12,0
Prachuap Khiri Khan,129,0,8,0,3,0,4,0,12,0,5,0,14,0,26,0,11,0,13,0,9,0,13,0,11,0
Samut Sakhon,281,0,18,0,37,0,21,0,13,0,13,0,13,0,27,0,24,0,28,0,18,0,53,0,16,0
Samut Songkhram,131,0,4,0,2,0,13,0,12,0,9,0,19,0,14,0,12,0,19,0,14,0,7,0,6,0
Zone:8,1733,1,52,0,66,0,100,0,85,1,114,0,181,0,256,0,305,0,222,0,185,0,135,0,32,0
Chachoengsao,506,0,11,0,13,0,11,0,22,0,22,0,63,0,110,0,97,0,77,0,51,0,22,0,7,0
Nakhon Nayok,107,0,0,0,7,0,12,0,6,0,13,0,10,0,13,0,15,0,14,0,9,0,5,0,3,0
Prachin Buri,168,1,8,0,3,0,9,0,10,1,11,0,33,0,25,0,28,0,17,0,17,0,7,0,0,0
Sa Kaeo,252,0,3,0,5,0,14,0,11,0,15,0,35,0,62,0,39,0,39,0,10,0,18,0,1,0
Samut Prakan,700,0,30,0,38,0,54,0,36,0,53,0,40,0,46,0,126,0,75,0,98,0,83,0,21,0
Zone:9,1056,1,28,0,39,0,65,0,80,0,78,0,153,0,199,0,122,0,90,0,76,1,76,0,50,0
Chanthaburi,319,0,14,0,6,0,13,0,25,0,26,0,43,0,58,0,47,0,40,0,22,0,20,0,5,0
Chon Buri,190,1,3,0,13,0,18,0,7,0,15,0,31,0,46,0,18,0,14,0,10,1,11,0,4,0
Rayong,470,0,11,0,17,0,24,0,37,0,28,0,70,0,80,0,49,0,31,0,40,0,42,0,41,0
Trat,77,0,0,0,3,0,10,0,11,0,9,0,9,0,15,0,8,0,5,0,4,0,3,0,0,0
North-Eastern Region,6595,2,154,0,112,0,215,0,336,0,816,2,1203,0,1349,0,1128,0,618,0,327,0,228,0,109,0
Zone:10,628,1,15,0,4,0,20,0,16,0,77,1,135,0,96,0,88,0,65,0,49,0,44,0,19,0
Loei,90,0,1,0,0,0,0,0,3,0,12,0,25,0,21,0,11,0,5,0,5,0,5,0,2,0
Nong Bua Lam Phu,86,0,2,0,0,0,8,0,3,0,20,0,21,0,13,0,6,0,6,0,5,0,2,0,0,0
Nong Khai,198,1,4,0,2,0,2,0,5,0,19,1,50,0,27,0,22,0,14,0,19,0,20,0,14,0
Udon Thani,254,0,8,0,2,0,10,0,5,0,26,0,39,0,35,0,49,0,40,0,20,0,17,0,3,0
Zone:11,816,0,11,0,14,0,12,0,46,0,151,0,194,0,142,0,114,0,52,0,35,0,32,0,13,0
Kalasin,264,0,0,0,3,0,5,0,16,0,26,0,59,0,54,0,51,0,18,0,8,0,15,0,9,0
Mukdahan,84,0,2,0,0,0,0,0,6,0,16,0,26,0,6,0,9,0,5,0,6,0,6,0,2,0
Nakhon Phanom,145,0,8,0,9,0,3,0,17,0,27,0,31,0,32,0,9,0,7,0,2,0,0,0,0,0
Sakon Nakhon,323,0,1,0,2,0,4,0,7,0,82,0,78,0,50,0,45,0,22,0,19,0,11,0,2,0
Zone:12,993,0,33,0,12,0,34,0,50,0,108,0,191,0,189,0,182,0,97,0,31,0,37,0,29,0
Khon Kaen,370,0,11,0,3,0,14,0,16,0,33,0,55,0,63,0,75,0,46,0,22,0,23,0,9,0
Maha Sarakham,167,0,6,0,3,0,4,0,5,0,15,0,24,0,42,0,31,0,23,0,4,0,8,0,2,0
Roi Et,456,0,16,0,6,0,16,0,29,0,60,0,112,0,84,0,76,0,28,0,5,0,6,0,18,0
Zone:13,2719,1,49,0,51,0,74,0,100,0,192,1,433,0,628,0,601,0,305,0,162,0,88,0,36,0
Buri Ram,744,1,20,0,18,0,30,0,44,0,63,1,131,0,168,0,130,0,83,0,27,0,19,0,11,0
