Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Afghanistan,AFG,..,..,..,..,..,..,..,..,10.42081714,14.3421528,18.3800424,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Albania,ALB,15.40506383,20.11528555,28.21300146,27.26739115,28.97789918,31.56979831,31.57195441,31.30426989,22.65778961,31.30916076,37.39542221,39.62339601
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Algeria,DZA,23.44368508,42.06971772,27.61948637,20.52814168,18.48668797,20.33367952,23.42310574,20.40794195,15.53520111,23.88250782,31.44685581,25.16752082
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,American Samoa,ASM,..,..,66.718507,63.59583952,63.93442623,59.1503268,68.23161189,61.66924266,59.22330097,44.26666667,46.95752009,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Angola,AGO,..,..,44.69502946,29.75459795,28.12448545,29.004102,40.83628983,40.79075505,38.31454074,47.74527598,44.39961708,39.8726733
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Antigua and Barbuda,ATG,..,..,74.504142,70.69120079,70.01991462,64.57181836,62.47054811,69.20864236,41.91092501,46.98347939,54.68958214,..
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Argentina,ARG,10.35953659,10.98637523,14.40547859,10.70565205,12.52709517,11.32028336,14.43668575,17.92487838,16.60541444,17.99658794,16.29956168,12.91942461
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Armenia,ARM,35.00298151,22.16141881,28.56038166,29.72539121,33.74427986,38.21604566,39.39289403,41.35080136,29.76498692,35.90643999,50.0136477,58.18145547
Exports of goods and services (% of GDP),NE.EXP.GNFS.ZS,Aruba,ABW,..,74.38601095,78.27549368,72.85291285,71.82043501,72.54868983,72.25277396,73.23459154,55.32681001,69.06970883,83.12460529,..
